Country,Clicks,Impressions,CTR,Position
Panama,1439,75030,1.92%,10.26
United States,304,42175,0.72%,31.78
Spain,200,20726,0.96%,26.45
Mexico,126,46585,0.27%,10.91
Colombia,82,8515,0.96%,13.42
Costa Rica,76,6408,1.19%,16.02
Argentina,74,8574,0.86%,13.56
Peru,54,5002,1.08%,11.7
Canada,42,3116,1.35%,36.71
Chile,29,5864,0.49%,12.22
Germany,21,2166,0.97%,33.74
Guatemala,19,1585,1.2%,10.46
Brazil,18,8415,0.21%,44.82
United Kingdom,17,5731,0.3%,44.09
France,14,1367,1.02%,27.77
Uruguay,12,840,1.43%,12.79
Ecuador,10,1999,0.5%,18.75
Venezuela,10,1581,0.63%,15.6
Italy,8,1633,0.49%,33.09
El Salvador,8,1153,0.69%,11.01
Netherlands,8,694,1.15%,26.37
Jamaica,8,217,3.69%,29.28
Dominican Republic,7,908,0.77%,17.3
Nicaragua,7,457,1.53%,12.42
Honduras,6,727,0.83%,10.65
Puerto Rico,6,707,0.85%,17.36
Bolivia,6,688,0.87%,14.03
Cuba,5,639,0.78%,7.1
Paraguay,5,495,1.01%,18.79
Portugal,5,359,1.39%,30.58
Russia,4,2493,0.16%,42.73
India,4,2266,0.18%,46.21
Switzerland,4,351,1.14%,17.87
Belgium,4,259,1.54%,26.69
Caribbean Netherlands,4,24,16.67%,8.58
Turkey,3,918,0.33%,37.54
South Africa,3,560,0.54%,41.59
Poland,3,496,0.6%,31.12
Norway,3,154,1.95%,23.9
Cayman Islands,3,32,9.38%,21.47
Australia,2,645,0.31%,42.43
Indonesia,2,573,0.35%,43.43
Morocco,2,418,0.48%,36.36
Sweden,2,319,0.63%,26.99
United Arab Emirates,2,306,0.65%,33.61
Romania,2,301,0.66%,30.06
Belize,2,56,3.57%,35.71
Curaçao,2,45,4.44%,10.69
Aruba,2,42,4.76%,11.29
Uganda,2,27,7.41%,29.89
Ireland,1,567,0.18%,42.74
Greece,1,239,0.42%,37.87
Singapore,1,229,0.44%,37.97
Algeria,1,224,0.45%,33.55
Thailand,1,197,0.51%,35.85
Austria,1,188,0.53%,23.97
Czechia,1,187,0.53%,30.4
Serbia,1,148,0.68%,40.34
Hungary,1,141,0.71%,34.8
Denmark,1,139,0.72%,29.81
Slovenia,1,76,1.32%,39.92
Slovakia,1,63,1.59%,25.87
Guyana,1,56,1.79%,31.98
Qatar,1,47,2.13%,28.21
Angola,1,47,2.13%,30.64
Ghana,1,45,2.22%,25.38
Estonia,1,39,2.56%,29.46
Luxembourg,1,29,3.45%,24.83
Zambia,1,12,8.33%,23.83
Madagascar,1,11,9.09%,21.45
St. Martin,1,8,12.5%,10
Fiji,1,8,12.5%,24.5
Yemen,1,7,14.29%,31.71
Anguilla,1,5,20%,19.6
Gibraltar,1,5,20%,32.2
Vietnam,0,1445,0%,48.37
South Korea,0,1273,0%,44.18
Ukraine,0,599,0%,39.75
Egypt,0,541,0%,35.04
Saudi Arabia,0,535,0%,39
Philippines,0,505,0%,41.39
Bangladesh,0,456,0%,50.45
Malaysia,0,407,0%,48.46
Japan,0,372,0%,38.27
Pakistan,0,357,0%,48.21
Iraq,0,317,0%,50.14
Taiwan,0,315,0%,48.18
Israel,0,312,0%,34.71
Uzbekistan,0,238,0%,46.18
Trinidad & Tobago,0,220,0%,37.21
Kazakhstan,0,200,0%,39.56
Belarus,0,188,0%,35.13
Tunisia,0,181,0%,39.61
Unknown Region,0,169,0%,45.66
Kenya,0,166,0%,40.4
New Zealand,0,164,0%,43.51
Bulgaria,0,153,0%,31.91
Jordan,0,146,0%,45.08
Barbados,0,134,0%,39.57
Nigeria,0,127,0%,36.67
Nepal,0,123,0%,49.09
Lithuania,0,117,0%,41.97
Finland,0,108,0%,32.32
Albania,0,91,0%,38.51
Iran,0,87,0%,44.72
Georgia,0,86,0%,42.65
Azerbaijan,0,85,0%,40.36
Bahamas,0,83,0%,28.45
Bosnia & Herzegovina,0,80,0%,38.05
Oman,0,80,0%,39.21
Senegal,0,76,0%,33.32
Moldova,0,70,0%,34.87
Cyprus,0,67,0%,35.69
Kuwait,0,66,0%,41.39
Croatia,0,64,0%,32.61
Latvia,0,63,0%,35.79
Côte d’Ivoire,0,62,0%,33.26
Hong Kong,0,62,0%,34.58
Ethiopia,0,60,0%,37.23
Andorra,0,58,0%,17.5
Bahrain,0,54,0%,38.02
Palestine,0,52,0%,35.87
Malta,0,45,0%,20.4
Lebanon,0,45,0%,49.29
Armenia,0,41,0%,34.76
Syria,0,41,0%,43.2
Sri Lanka,0,37,0%,37.7
Kyrgyzstan,0,34,0%,35.44
British Virgin Islands,0,34,0%,56.03
Macedonia,0,33,0%,37.39
Cambodia,0,32,0%,32.75
Tanzania,0,28,0%,35.43
Myanmar (Burma),0,28,0%,47.68
China,0,26,0%,23.23
Libya,0,26,0%,41
Iceland,0,25,0%,35.64
Suriname,0,24,0%,26.62
Mauritius,0,23,0%,16.61
Haiti,0,22,0%,14.68
Burkina Faso,0,21,0%,36.48
Gabon,0,20,0%,29.55
St. Lucia,0,18,0%,43.83
Seychelles,0,18,0%,51.39
Togo,0,17,0%,24.12
Benin,0,15,0%,14.27
Zimbabwe,0,15,0%,40
Mongolia,0,15,0%,41.93
Congo - Brazzaville,0,15,0%,42.73
Antigua & Barbuda,0,14,0%,29.5
St. Kitts & Nevis,0,14,0%,43.71
Cape Verde,0,13,0%,16.08
Congo - Kinshasa,0,13,0%,20.85
Equatorial Guinea,0,13,0%,24
Rwanda,0,13,0%,39.23
Sint Maarten,0,12,0%,15.17
Montenegro,0,11,0%,32.64
Mozambique,0,11,0%,45.36
Grenada,0,11,0%,53.09
Cameroon,0,10,0%,34.4
St. Vincent & Grenadines,0,10,0%,34.9
Bermuda,0,10,0%,39.4
Brunei,0,10,0%,53.1
U.S. Virgin Islands,0,9,0%,17.56
Maldives,0,9,0%,31.89
Namibia,0,8,0%,20
Mali,0,8,0%,28.25
Jersey,0,8,0%,37.5
Somalia,0,7,0%,41
Malawi,0,6,0%,19
French Guiana,0,6,0%,20
Western Sahara,0,6,0%,28.17
Isle of Man,0,6,0%,48
Botswana,0,6,0%,52.17
San Marino,0,5,0%,31.2
Laos,0,5,0%,38.6
Turks & Caicos Islands,0,5,0%,42.4
Macau,0,4,0%,39.75
Sierra Leone,0,4,0%,40.75
Mauritania,0,4,0%,41.25
Swaziland,0,4,0%,66.5
Papua New Guinea,0,3,0%,1
St. Barthélemy,0,3,0%,3.67
Guernsey,0,3,0%,9
Réunion,0,3,0%,31.33
Dominica,0,3,0%,49.33
Martinique,0,3,0%,87
Guadeloupe,0,2,0%,7.5
Afghanistan,0,2,0%,9
Åland Islands,0,2,0%,11.5
Bhutan,0,2,0%,12
Burundi,0,2,0%,20
Tajikistan,0,2,0%,22
Guam,0,2,0%,39
Kosovo,0,2,0%,40.5
Lesotho,0,2,0%,48
Chad,0,1,0%,5
Marshall Islands,0,1,0%,8
Monaco,0,1,0%,9
French Polynesia,0,1,0%,10
Sudan,0,1,0%,10
Guinea,0,1,0%,13
Kiribati,0,1,0%,42
Liechtenstein,0,1,0%,44
Montserrat,0,1,0%,51
South Sudan,0,1,0%,75
Gambia,0,1,0%,101